mold_code,variable,lower_bound,upper_bound
8412,Coolant_temperature,29,37
8412,EMS_operation_time,-19.5,48.5
8412,biscuit_thickness,43,59
8412,cast_pressure,303,351
8412,facility_operation_cycleTime,112.5,124.5
8412,high_section_speed,110.5,114.5
8412,low_section_speed,110,110
8412,lower_mold_temp1,70,222
8412,lower_mold_temp2,69.5,305.5
8412,mold_code,8412,8412
8412,molten_temp,681,761
8412,molten_volume,-13,163
8412,physical_strength,665.5,749.5
8412,production_cycletime,112,128
8412,sleeve_temperature,-269.5,958.5
8412,upper_mold_temp1,72,312
8412,upper_mold_temp2,110,190
8573,Coolant_temperature,27,35
8573,EMS_operation_time,23,23
8573,biscuit_thickness,47.5,59.5
8573,cast_pressure,328.5,332.5
8573,facility_operation_cycleTime,115.5,127.5
8573,high_section_speed,112,112
8573,low_section_speed,110,110
8573,lower_mold_temp1,41,329
8573,lower_mold_temp2,178,234
8573,mold_code,8573,8573
8573,molten_temp,683.5,759.5
8573,molten_volume,-3933,6787
8573,physical_strength,689.5,725.5
8573,production_cycletime,116.5,128.5
8573,sleeve_temperature,387.5,623.5
8573,upper_mold_temp1,200,256
8573,upper_mold_temp2,157.5,225.5
8600,Coolant_temperature,28,36
8600,EMS_operation_time,23,23
8600,biscuit_thickness,37.5,57.5
8600,cast_pressure,325,325
8600,facility_operation_cycleTime,106.5,134.5
8600,high_section_speed,117,117
8600,low_section_speed,115,115
8600,lower_mold_temp1,32.5,396.5
8600,lower_mold_temp2,112,272
8600,mold_code,8600,8600
8600,molten_temp,703.5,715.5
8600,molten_volume,-14,146
8600,physical_strength,681.5,701.5
8600,production_cycletime,109.5,137.5
8600,sleeve_temperature,483.5,519.5
8600,upper_mold_temp1,3,443
8600,upper_mold_temp2,108.5,240.5
8722,Coolant_temperature,26,42
8722,EMS_operation_time,23,23
8722,biscuit_thickness,37.5,57.5
8722,cast_pressure,316,340
8722,facility_operation_cycleTime,112,128
8722,high_section_speed,97,121
8722,low_section_speed,97.5,117.5
8722,lower_mold_temp1,88,360
8722,lower_mold_temp2,67,371
8722,mold_code,8722,8722
8722,molten_temp,701.5,745.5
8722,molten_volume,-9.5,138.5
8722,physical_strength,662.5,730.5
8722,production_cycletime,115.5,127.5
8722,sleeve_temperature,399,543
8722,upper_mold_temp1,122,250
8722,upper_mold_temp2,43,259
8917,Coolant_temperature,25.5,37.5
8917,EMS_operation_time,23,23
8917,biscuit_thickness,39,63
8917,cast_pressure,326,334
8917,facility_operation_cycleTime,110,126
8917,high_section_speed,112,112
8917,low_section_speed,110,110
8917,lower_mold_temp1,112.5,348.5
8917,lower_mold_temp2,91.5,239.5
8917,mold_code,8917,8917
8917,molten_temp,684,756
8917,molten_volume,-5,139
8917,physical_strength,688,720
8917,production_cycletime,113.5,125.5
8917,sleeve_temperature,353.5,557.5
8917,upper_mold_temp1,-36.5,335.5
8917,upper_mold_temp2,140.5,208.5
